anno,nome,coniugata,divorziata,gia_in_unione_civile_(per_decesso_del_partner),nubile,separata,unita_civilmente,vedova
2019,Azienda Ospedale - Università Padova,95.0,9.0,0.0,145.0,4.0,0.0,1.0
2019,Azienda Ulss N. 1 Dolomiti,57.0,5.0,0.0,109.0,5.0,0.0,1.0
2019,Azienda Ulss N. 2 Marca Trevigiana,283.0,10.0,0.0,442.0,12.0,0.0,0.0
2019,Azienda Ulss N. 3 Serenissima,277.0,20.0,0.0,414.0,24.0,0.0,1.0
2019,Azienda Ulss N. 4 Veneto Orientale,47.0,2.0,0.0,66.0,6.0,0.0,0.0
2019,Azienda Ulss N. 5 Polesana,66.0,5.0,0.0,103.0,11.0,0.0,1.0
2019,Azienda Ulss N. 6 Euganea,161.0,16.0,0.0,298.0,16.0,0.0,1.0
2019,Azienda Ulss N. 7 Pedemontana,102.0,4.0,0.0,155.0,7.0,0.0,2.0
2019,Azienda Ulss N. 8 Berica,158.0,12.0,0.0,197.0,13.0,0.0,1.0
2019,Azienda Ulss N. 9 Scaligera,180.0,18.0,0.0,201.0,16.0,1.0,1.0
2020,A.O. Integrata Con Università - Verona,188.0,10.0,0.0,317.0,11.0,1.0,0.0
2020,Azienda Ospedale - Università Padova,137.0,4.0,0.0,175.0,7.0,0.0,1.0
2020,Azienda Ulss N. 1 Dolomiti,54.0,3.0,0.0,109.0,5.0,0.0,0.0
2020,Azienda Ulss N. 2 Marca Trevigiana,305.0,14.0,0.0,410.0,16.0,0.0,1.0
2020,Azienda Ulss N. 3 Serenissima,240.0,18.0,0.0,396.0,23.0,0.0,0.0
2020,Azienda Ulss N. 4 Veneto Orientale,34.0,0.0,0.0,67.0,3.0,0.0,0.0
2020,Azienda Ulss N. 5 Polesana,53.0,2.0,0.0,119.0,6.0,0.0,1.0
2020,Azienda Ulss N. 6 Euganea,167.0,11.0,0.0,255.0,12.0,0.0,1.0
2020,Azienda Ulss N. 7 Pedemontana,82.0,7.0,0.0,179.0,6.0,0.0,1.0
2020,Azienda Ulss N. 8 Berica,159.0,7.0,0.0,199.0,9.0,2.0,0.0
2020,Azienda Ulss N. 9 Scaligera,112.0,8.0,0.0,172.0,8.0,2.0,0.0
2021,A.O. Integrata Con Università - Verona,203.0,19.0,0.0,320.0,14.0,0.0,0.0
2021,Azienda Ospedale - Università Padova,131.0,1.0,0.0,168.0,9.0,0.0,1.0
2021,Azienda Ulss N. 1 Dolomiti,46.0,3.0,0.0,92.0,1.0,0.0,3.0
2021,Azienda Ulss N. 2 Marca Trevigiana,285.0,9.0,0.0,459.0,14.0,1.0,2.0
2021,Azienda Ulss N. 3 Serenissima,184.0,21.0,0.0,398.0,10.0,2.0,2.0
2021,Azienda Ulss N. 4 Veneto Orientale,40.0,3.0,0.0,51.0,7.0,0.0,0.0
2021,Azienda Ulss N. 5 Polesana,71.0,2.0,0.0,103.0,11.0,0.0,1.0
2021,Azienda Ulss N. 6 Euganea,141.0,21.0,0.0,275.0,14.0,0.0,0.0
2021,Azienda Ulss N. 7 Pedemontana,98.0,10.0,0.0,200.0,7.0,0.0,0.0
2021,Azienda Ulss N. 8 Berica,136.0,7.0,0.0,175.0,9.0,0.0,0.0
2021,Azienda Ulss N. 9 Scaligera,119.0,8.0,0.0,170.0,9.0,0.0,0.0
2022,A.O. Integrata Con Università - Verona,210.0,21.0,0.0,360.0,13.0,2.0,1.0
2022,Azienda Ospedale - Università Padova,122.0,7.0,0.0,129.0,9.0,2.0,0.0
2022,Azienda Ulss N. 1 Dolomiti,40.0,4.0,0.0,95.0,0.0,0.0,0.0
2022,Azienda Ulss N. 2 Marca Trevigiana,284.0,13.0,0.0,491.0,12.0,3.0,1.0
2022,Azienda Ulss N. 3 Serenissima,226.0,12.0,0.0,408.0,11.0,1.0,2.0
2022,Azienda Ulss N. 4 Veneto Orientale,39.0,0.0,0.0,69.0,4.0,0.0,0.0
2022,Azienda Ulss N. 5 Polesana,58.0,1.0,0.0,113.0,5.0,0.0,0.0
2022,Azienda Ulss N. 6 Euganea,161.0,12.0,0.0,286.0,15.0,1.0,3.0
2022,Azienda Ulss N. 7 Pedemontana,115.0,3.0,0.0,216.0,5.0,1.0,0.0
2022,Azienda Ulss N. 8 Berica,115.0,4.0,1.0,194.0,5.0,1.0,1.0
2022,Azienda Ulss N. 9 Scaligera,140.0,11.0,0.0,206.0,9.0,1.0,0.0
2023,A.O. Integrata Con Università - Verona,175.0,10.0,0.0,321.0,9.0,0.0,1.0
2023,Azienda Ospedale - Università Padova,107.0,2.0,2.0,136.0,6.0,4.0,0.0
2023,Azienda Ulss N. 1 Dolomiti,50.0,1.0,0.0,103.0,1.0,0.0,1.0
2023,Azienda Ulss N. 2 Marca Trevigiana,265.0,13.0,0.0,493.0,19.0,0.0,3.0
2023,Azienda Ulss N. 3 Serenissima,212.0,14.0,0.0,406.0,12.0,0.0,0.0
2023,Azienda Ulss N. 4 Veneto Orientale,24.0,1.0,0.0,46.0,2.0,0.0,1.0
2023,Azienda Ulss N. 5 Polesana,40.0,6.0,0.0,96.0,4.0,0.0,0.0
2023,Azienda Ulss N. 6 Euganea,174.0,8.0,0.0,335.0,11.0,3.0,0.0
2023,Azienda Ulss N. 7 Pedemontana,110.0,6.0,0.0,215.0,5.0,0.0,1.0
2023,Azienda Ulss N. 8 Berica,144.0,12.0,0.0,242.0,9.0,1.0,0.0
2023,Azienda Ulss N. 9 Scaligera,167.0,7.0,0.0,217.0,12.0,2.0,0.0
