nome_azienda,categoria,valori,anno
505,NUBILE,143.0,4
505,SEPARATA,10.0,4
506,CONIUGATA,206.0,4
506,DIVORZIATA,11.0,4
506,NUBILE,315.0,4
506,SEPARATA,20.0,4
507,CONIUGATA,81.0,4
507,DIVORZIATA,2.0,4
507,NUBILE,143.0,4
507,SEPARATA,7.0,4
508,CONIUGATA,188.0,4
508,DIVORZIATA,8.0,4
508,NUBILE,213.0,4
508,SEPARATA,8.0,4
509,DIVORZIATA,16.0,4
509,CONIUGATA,166.0,4
509,NUBILE,208.0,4
509,SEPARATA,15.0,4
901,DIVORZIATA,3.0,4
901,CONIUGATA,127.0,4
901,VEDOVA,2.0,4
901,SEPARATA,6.0,4
901,NUBILE,126.0,4
912,CONIUGATA,198.0,4
912,DIVORZIATA,15.0,4
912,SEPARATA,12.0,4
912,NUBILE,326.0,4
501,DIVORZIATA,5.0,5
501,CONIUGATA,57.0,5
501,VEDOVA,1.0,5
501,NUBILE,109.0,5
501,SEPARATA,5.0,5
502,DIVORZIATA,10.0,5
502,CONIUGATA,283.0,5
502,SEPARATA,12.0,5
502,NUBILE,442.0,5
503,CONIUGATA,277.0,5
503,DIVORZIATA,20.0,5
503,VEDOVA,1.0,5
503,NUBILE,414.0,5
503,SEPARATA,24.0,5
504,DIVORZIATA,2.0,5
504,CONIUGATA,47.0,5
504,SEPARATA,6.0,5
504,NUBILE,66.0,5
505,CONIUGATA,66.0,5
505,DIVORZIATA,5.0,5
505,VEDOVA,1.0,5
505,NUBILE,103.0,5
505,SEPARATA,11.0,5
506,CONIUGATA,161.0,5
506,DIVORZIATA,16.0,5
506,VEDOVA,1.0,5
506,NUBILE,298.0,5
506,SEPARATA,16.0,5
507,DIVORZIATA,4.0,5
507,CONIUGATA,102.0,5
507,VEDOVA,2.0,5
507,SEPARATA,7.0,5
507,NUBILE,155.0,5
508,DIVORZIATA,12.0,5
508,CONIUGATA,158.0,5
508,VEDOVA,1.0,5
508,NUBILE,197.0,5
508,SEPARATA,13.0,5
509,DIVORZIATA,18.0,5
509,CONIUGATA,180.0,5
509,VEDOVA,1.0,5
509,NUBILE,201.0,5
509,SEPARATA,16.0,5
509,UNITA CIVILMENTE,1.0,5
901,DIVORZIATA,9.0,5
901,CONIUGATA,95.0,5
901,VEDOVA,1.0,5
901,NUBILE,145.0,5
901,SEPARATA,4.0,5
912,DIVORZIATA,17.0,5
912,CONIUGATA,207.0,5
912,NUBILE,333.0,5
912,SEPARATA,13.0,5
501,DIVORZIATA,3.0,6
501,CONIUGATA,54.0,6
501,SEPARATA,5.0,6
501,NUBILE,109.0,6
502,CONIUGATA,305.0,6
502,DIVORZIATA,14.0,6
502,VEDOVA,1.0,6
502,SEPARATA,16.0,6
502,NUBILE,410.0,6
503,CONIUGATA,240.0,6
503,DIVORZIATA,18.0,6
503,SEPARATA,23.0,6
503,NUBILE,396.0,6
504,CONIUGATA,34.0,6
504,SEPARATA,3.0,6
504,NUBILE,67.0,6
505,CONIUGATA,53.0,6
505,DIVORZIATA,2.0,6
505,VEDOVA,1.0,6
505,NUBILE,119.0,6
505,SEPARATA,6.0,6
506,DIVORZIATA,11.0,6
506,CONIUGATA,167.0,6
506,VEDOVA,1.0,6
506,SEPARATA,12.0,6
506,NUBILE,255.0,6
507,DIVORZIATA,7.0,6
507,CONIUGATA,82.0,6
507,VEDOVA,1.0,6
507,NUBILE,179.0,6
507,SEPARATA,6.0,6
508,DIVORZIATA,7.0,6
508,CONIUGATA,159.0,6
508,NUBILE,199.0,6
508,SEPARATA,9.0,6
508,UNITA CIVILMENTE,2.0,6
509,CONIUGATA,112.0,6
509,DIVORZIATA,8.0,6
509,SEPARATA,8.0,6
509,NUBILE,172.0,6
509,UNITA CIVILMENTE,2.0,6
901,DIVORZIATA,4.0,6
901,CONIUGATA,137.0,6
901,VEDOVA,1.0,6
901,SEPARATA,7.0,6
901,NUBILE,175.0,6
912,CONIUGATA,188.0,6
912,DIVORZIATA,10.0,6
912,NUBILE,317.0,6
912,SEPARATA,11.0,6
912,UNITA CIVILMENTE,1.0,6
501,DIVORZIATA,3.0,7
501,CONIUGATA,46.0,7
501,VEDOVA,3.0,7
501,NUBILE,92.0,7
501,SEPARATA,1.0,7
502,CONIUGATA,285.0,7
502,DIVORZIATA,9.0,7
502,VEDOVA,2.0,7
502,SEPARATA,14.0,7
502,NUBILE,459.0,7
502,UNITA CIVILMENTE,1.0,7
503,DIVORZIATA,21.0,7
503,CONIUGATA,184.0,7
503,VEDOVA,2.0,7
503,NUBILE,398.0,7
503,SEPARATA,10.0,7
503,UNITA CIVILMENTE,2.0,7
504,DIVORZIATA,3.0,7
504,CONIUGATA,40.0,7
504,SEPARATA,7.0,7
504,NUBILE,51.0,7
505,CONIUGATA,71.0,7
505,DIVORZIATA,2.0,7
505,VEDOVA,1.0,7
505,SEPARATA,11.0,7
505,NUBILE,103.0,7
506,CONIUGATA,141.0,7
506,DIVORZIATA,21.0,7
506,NUBILE,275.0,7
506,SEPARATA,14.0,7
507,CONIUGATA,98.0,7
507,DIVORZIATA,10.0,7
507,NUBILE,200.0,7
507,SEPARATA,7.0,7
508,CONIUGATA,136.0,7
508,DIVORZIATA,7.0,7
508,SEPARATA,9.0,7
508,NUBILE,175.0,7
509,DIVORZIATA,8.0,7
509,CONIUGATA,119.0,7
509,SEPARATA,9.0,7
509,NUBILE,170.0,7
901,CONIUGATA,131.0,7
901,DIVORZIATA,1.0,7
901,VEDOVA,1.0,7
901,SEPARATA,9.0,7
901,NUBILE,168.0,7
912,DIVORZIATA,19.0,7
912,CONIUGATA,203.0,7
912,NUBILE,320.0,7
912,SEPARATA,14.0,7
501,DIVORZIATA,4.0,8
501,CONIUGATA,40.0,8
501,NUBILE,95.0,8
502,CONIUGATA,284.0,8
502,DIVORZIATA,13.0,8
502,VEDOVA,1.0,8
502,SEPARATA,12.0,8
502,NUBILE,491.0,8
502,UNITA CIVILMENTE,3.0,8
503,DIVORZIATA,12.0,8
503,CONIUGATA,226.0,8
503,VEDOVA,2.0,8
503,NUBILE,408.0,8
503,SEPARATA,11.0,8
503,UNITA CIVILMENTE,1.0,8
504,CONIUGATA,39.0,8
504,SEPARATA,4.0,8
504,NUBILE,69.0,8
505,CONIUGATA,58.0,8
505,DIVORZIATA,1.0,8
505,NUBILE,113.0,8
505,SEPARATA,5.0,8
506,DIVORZIATA,12.0,8
506,CONIUGATA,161.0,8
506,VEDOVA,3.0,8
506,NUBILE,286.0,8
506,SEPARATA,15.0,8
506,UNITA CIVILMENTE,1.0,8
507,DIVORZIATA,3.0,8
507,CONIUGATA,115.0,8
507,NUBILE,216.0,8
507,SEPARATA,5.0,8
507,UNITA CIVILMENTE,1.0,8
508,DIVORZIATA,4.0,8
508,CONIUGATA,115.0,8
508,GIA' IN UNIONE CIVILE (PER DECESSO DEL PARTNER),1.0,8
508,VEDOVA,1.0,8
508,NUBILE,194.0,8
508,SEPARATA,5.0,8
508,UNITA CIVILMENTE,1.0,8
509,CONIUGATA,140.0,8
509,DIVORZIATA,11.0,8
509,NUBILE,206.0,8
509,SEPARATA,9.0,8
509,UNITA CIVILMENTE,1.0,8
901,CONIUGATA,122.0,8
901,DIVORZIATA,7.0,8
901,SEPARATA,9.0,8
901,NUBILE,129.0,8
901,UNITA CIVILMENTE,2.0,8
912,DIVORZIATA,21.0,8
912,CONIUGATA,210.0,8
912,VEDOVA,1.0,8
912,NUBILE,360.0,8
912,SEPARATA,13.0,8
912,UNITA CIVILMENTE,2.0,8
501,DIVORZIATA,1.0,9
501,CONIUGATA,50.0,9
501,VEDOVA,1.0,9
501,SEPARATA,1.0,9
501,NUBILE,103.0,9
502,DIVORZIATA,13.0,9
502,CONIUGATA,265.0,9
502,VEDOVA,3.0,9
502,NUBILE,493.0,9
502,SEPARATA,19.0,9
503,DIVORZIATA,14.0,9
503,CONIUGATA,212.0,9
503,SEPARATA,12.0,9
503,NUBILE,406.0,9
504,DIVORZIATA,1.0,9
504,CONIUGATA,24.0,9
504,VEDOVA,1.0,9
504,NUBILE,46.0,9
504,SEPARATA,2.0,9
505,CONIUGATA,40.0,9
505,DIVORZIATA,6.0,9
505,NUBILE,96.0,9
505,SEPARATA,4.0,9
506,CONIUGATA,174.0,9
506,DIVORZIATA,8.0,9
506,SEPARATA,11.0,9
506,NUBILE,335.0,9
506,UNITA CIVILMENTE,3.0,9
507,CONIUGATA,110.0,9
507,DIVORZIATA,6.0,9
507,VEDOVA,1.0,9
507,NUBILE,215.0,9
507,SEPARATA,5.0,9
508,DIVORZIATA,12.0,9
508,CONIUGATA,144.0,9
508,SEPARATA,9.0,9
508,NUBILE,242.0,9
508,UNITA CIVILMENTE,1.0,9
509,CONIUGATA,167.0,9
509,DIVORZIATA,7.0,9
509,NUBILE,217.0,9
509,SEPARATA,12.0,9
509,UNITA CIVILMENTE,2.0,9
901,DIVORZIATA,2.0,9
901,CONIUGATA,107.0,9
901,GIA' IN UNIONE CIVILE (PER DECESSO DEL PARTNER),2.0,9
901,NUBILE,136.0,9
901,SEPARATA,6.0,9
901,UNITA CIVILMENTE,4.0,9
912,CONIUGATA,175.0,9
912,DIVORZIATA,10.0,9
912,VEDOVA,1.0,9
912,NUBILE,321.0,9
912,SEPARATA,9.0,9
